GEOID,NAME,estimate_CROWD,estimate_MUNIT,estimate_LIMENG,estimate_MINRTY,estimate_SNGPNT,estimate_NOHSDP,estimate_AGE17,estimate_P_LIMENG,estimate_POV,estimate_PCI,estimate_GROUPQ,estimate_AGE65,estimate_P_AGE65,estimate_UNINSUR,estimate_P_UNINSUR,estimate_P_POV,estimate_HH,estimate_HU,estimate_P_NOVEH,estimate_P_DISABL,estimate_P_UNEMP,estimate_UNEMP,estimate_DISABL,estimate_MOBILE,estimate_NOVEH,estimate_P_CROWD,estimate_TOTPOP,moe_CROWD,moe_MUNIT,moe_LIMENG,moe_MINRTY,moe_SNGPNT,moe_NOHSDP,moe_AGE17,moe_P_LIMENG,moe_POV,moe_PCI,moe_GROUPQ,moe_AGE65,moe_P_AGE65,moe_UNINSUR,moe_P_UNINSUR,moe_P_POV,moe_HH,moe_HU,moe_P_NOVEH,moe_P_DISABL,moe_P_UNEMP,moe_UNEMP,moe_DISABL,moe_MOBILE,moe_NOVEH,moe_P_CROWD,moe_TOTPOP,estimate_PAGE17,moe_PAGE17,estimate_PSNGPNT,moe_PSNGPNT,estimate_PMINRTY,moe_PMINRTY,estimate_PLIMENG,moe_PLIMENG,estimate_PMUNIT,moe_PMUNIT,estimate_PCROWD,moe_PCROWD,estimate_PGROUPQ,moe_PGROUPQ,estimate_PLPOV,estimate_PLUNEMP,estimate_PLPCI,estimate_PLNOHSDP,SPL_THEME1,RPL_THEME1,estimate_PLAGE65,estimate_PLAGE17,estimate_PLDISABL,estimate_PLSNGPNT,SPL_THEME2,RPL_THEME2,estimate_PLMINRTY,estimate_PLLIMENG,SPL_THEME3,RPL_THEME3,estimate_PLMUNIT,estimate_PLMOBILE,estimate_PLCROWD,estimate_PLNOVEH,estimate_PLGROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES
10180,"Abilene, TX Metro Area",1334,5353,3105,60371,5729,13989,40397,158326,24001,25284,14062,24874,14.6,21930,13.9,15.3,60394,71259,5.3,16.2,4.2,3243,25556,5687,3215,60394,170009,234.18368858654523,497.0010060351991,432.57600488237904,NA,531.3125257322662,738,77,27,1639,652,789,86,0.1,1232,0.8,1,886,372,0.6,0.8,0.5,422,1212,450,393,886,-555555555,23.761683205006793,NA,9.486041659767526,0.8686672948891779,35.51047297496015,NA,1.9611434634867297,0.27321834746097207,7.512033567689695,0.6963538108733296,2.2088286915918802,0.3864035093609879,8.271326812109947,NA,0.5759,0.1311,0.1979,0.411,1.3158999999999998,0.123,0.347,0.7016,0.8089,0.6099,2.4674,0.7487,0.6806,0.5964,1.2770000000000001,0.6963,0.4242,0.3856,0.329,0.2082,0.9686,2.3156,0.3927,7.3759,0.4215
10380,"Aguadilla-Isabela, PR Metro Area",2110,5317,195162,NA,NA,NA,61501,293861,159107,9602,3115,59095,19.2,16723,5.5,NA,NA,146603,15.3,NA,21,21229,NA,406,16941,110489,NA,346.78091066262573,439.072886887815,3371.4169128127714,NA,NA,NA,NA,NA,3291,279,461,NA,NA,1455,0.5,NA,NA,696,0.8,NA,1.1,1127,NA,171,936,1251,NA,NA,NA,NA,NA,NA,NA,66.41303201173343,NA,3.6268016343458185,0.2990025324637552,1.909692367566002,0.3131144408049011,NA,NA,NA,0.9974,0.005141,NA,NA,NA,0.8612,NA,NA,NA,NA,NA,NA,0.9949,NA,NA,0.0617,0.01542,0.5733,0.9846,NA,NA,NA,NA,NA
10420,"Akron, OH Metro Area",2476,32020,7823,139454,24559,40247,146319,666355,89922,31451,16476,117191,16.6,40916,5.9,13.1,286378,314626,8.3,13,5.8,21555,90804,7610,23629,286378,704454,331.710717342687,1133.3971060488905,967.1251211709889,NA,1193.714371196058,1299,76,170,3271,328,877,94,0.1,2066,0.3,0.5,1538,415,0.3,0.3,0.3,963,1866,519,993,1538,-555555555,20.770554216457,NA,8.575728582502846,0.4142795206627183,19.796040621531002,NA,1.1739988444597849,0.1451363105048388,10.177162726538812,0.35998611051618445,0.864591553820475,0.11573657220933428,2.3388326278223985,NA,0.3272,0.473,0.7121,0.7304,2.2427,0.6492,0.6041,0.2539,0.3848,0.3953,1.6381,0.2618,0.3351,0.3573,0.6924,0.3063,0.6452,0.4781,0.8175,0.7789,0.4241,3.1438,0.7906,7.7170000000000005,0.5366
10500,"Albany, GA Metro Area",1337,2416,639,89790,8826,16530,37407,143176,37204,22848,5711,22923,15,23802,15.9,25.2,57804,67086,10.3,15,11.3,7854,22453,7913,5939,57804,153101,265.27909830968593,367.21247255505904,226.66936272906403,NA,602.4566374437251,1059,152,113,2183,654,744,173,0.1,1298,0.9,1.5,731,358,0.9,0.6,1.1,787,930,523,525,731,-555555555,24.432890706135165,NA,15.268839526676354,1.0241973964076014,58.647559454216506,NA,0.4463038498072303,0.15831480254122318,3.6013475240735775,0.547038233513374,2.3129887205037716,0.4579955084586575,3.730217307529017,NA,0.9843,0.9743,0.06684,0.4738,2.4992400000000004,0.8325,0.4087,0.788,0.678,0.9974,2.8721,0.9476,0.9241,0.09512,1.01922,0.5288,0.05913,0.5064,0.3033,0.9203,0.7016,2.49073,0.4764,8.88129,0.8115
10540,"Albany, OR Metro Area",1388,3478,1452,17985,4261,8586,28162,115447,17528,25781,1370,22051,17.9,8627,7.1,14.4,47030,50011,5.6,17.5,7.9,4471,21389,5882,2651,47030,122870,286.2254356272342,397.51729522122685,308.6146464443967,NA,453.0485625184126,694,NA,79,1484,844,346,56,0.1,1020,0.8,1.2,502,171,0.6,0.8,1,551,973,408,294,502,-555555555,22.920159518189955,NA,9.060174356793537,0.9584515877826214,14.637421665174575,NA,1.257719992723934,0.2673201096365887,6.95447001659635,0.7945039540768737,2.9513076759515204,0.607785961648586,1.1149995930658418,NA,0.4791,0.8689,0.2468,0.1911,1.7859,0.3377,0.7532,0.5785,0.8848,0.5288,2.7453,0.9031,0.1832,0.4036,0.5868,0.2435,0.3548,0.3933,0.1722,0.2828,0.03403,1.23713,0.07068,6.355130000000001,0.2539
10580,"Albany-Schenectady-Troy, NY Metro Area",3823,39464,9983,174869,27557,46527,175218,834274,88320,36255,33539,145566,16.5,35305,4.1,10.4,350301,405385,9.8,12.1,5,23321,105213,14863,34465,350301,880481,484.5719760778578,1389.6636283647924,887.1144232848433,NA,1339.6734676778517,1395,59,72,3345,308,1082,209,0.1,1807,0.2,0.4,1746,495,0.3,0.2,0.3,1312,1841,685,939,1746,-555555555,19.900259062944002,NA,7.866663241041276,0.3804196288896336,19.860621637491327,NA,1.1966092674588924,0.10633365116438749,9.734943325480716,0.3425947911641607,1.0913471557317849,0.13822317974560233,3.8091679434309205,NA,0.1152,0.2828,0.8997,0.7539,2.0516,0.4817,0.599,0.1571,0.2775,0.2356,1.2692,0.1361,0.3403,0.3676,0.7079,0.3141,0.6144,0.7506,0.8535,0.8972,0.712,3.8277,0.966,7.856400000000001,0.5759
10740,"Albuquerque, NM Metro Area",9739,39442,30085,550652,34529,72062,206719,857501,154815,28342,11900,141918,15.6,83012,9.2,17.2,349150,387356,5.8,14,6.6,29222,125863,34096,20250,349150,910012,748.567966186104,1317.2566188863884,1743.4187678237263,NA,1254.303392325796,2044,163,121,4899,325,646,152,0.1,2870,0.3,0.5,2027,351,0.2,0.3,0.3,1219,2585,1011,796,2027,-555555555,22.716074073748477,NA,9.889445796935414,0.3546273502245406,60.51041085172503,NA,3.5084507190079077,0.20331330217146812,10.182364543210896,0.33993837076396205,2.7893455534870397,0.21378480636298114,1.3076750636255348,NA,0.7539,0.6812,0.4704,0.8429,2.7484,0.9503,0.4781,0.555,0.5524,0.6832,2.2687,0.6204,0.9293,0.7686,1.6979,0.8901,0.6478,0.9049,0.8509,0.3342,0.09424,2.83204,0.6387,9.547039999999999,0.9241
10780,"Alexandria, LA Metro Area",1138,2604,1284,56141,6778,15688,37601,143656,28553,23549,7522,23713,15.4,15208,10.3,19.5,54989,67084,9,16.7,7,4600,24716,10924,4943,54989,153894,237.9936973955403,382.48790830560904,299.35430513022527,NA,552.40293264971,985,87,115,1842,639,513,140,0.1,1271,0.9,1.2,759,213,0.8,0.8,0.8,535,1226,643,462,759,-555555555,24.433051321039155,NA,12.326101583953154,0.9900580755236695,36.480304625261546,NA,0.8938018599988863,0.20838150892294535,3.8817005545286505,0.5700294188071482,2.0695048100529196,0.4318587066846072,4.88777990045096,NA,0.8848,0.7609,0.0874,0.4503,2.1834000000000002,0.6021,0.4576,0.7906,0.8377,0.9607,3.0466,0.9869,0.7068,0.2365,0.9433,0.4712,0.07969,0.6401,0.2674,0.8458,0.8455,2.67849,0.5942,8.851790000000001,0.8089
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",4845,27862,22343,217196,28187,59567,177788,790484,86652,33227,23244,144773,17.3,51531,6.2,10.7,319220,348609,7.6,13.4,6.1,26505,110584,7750,24210,319220,834615,528.5385511010526,906.0358712545546,1260.4812572981798,NA,1131.8025446163301,1785,61,93,3281,319,921,119,0.1,2377,0.3,0.4,1358,386,0.3,0.2,0.3,1139,1745,531,938,1358,-555555555,21.30179783492988,NA,8.829960528788924,0.35255702408163975,26.02349586336215,NA,2.82649617196553,0.15945655021170568,7.99233525238878,0.25974960269469677,1.51776204498465,0.16544593528787382,2.784996675113675,NA,0.144,0.5424,0.7866,0.8063,2.2793,0.6806,0.7095,0.3141,0.4398,0.466,1.9294,0.4241,0.5052,0.7198,1.225,0.6623,0.4602,0.4936,0.8329,0.6967,0.555,3.0384,0.7408,8.472100000000001,0.7042
11020,"Altoona, PA Metro Area",511,3695,328,6600,4388,8029,25397,117261,17645,26648,3240,24518,19.8,6490,5.3,14.6,51625,56767,9.2,17.4,5,2956,21325,3668,4773,51625,123842,141.6756859873987,328.7993308995625,158.25928092848142,NA,385.0311675695878,648,33,74,1311,693,412,76,0.1,589,0.5,1.1,536,202,0.8,0.8,0.6,355,952,383,410,536,-555555555,20.50758224188886,NA,8.499757869249395,0.7405836445870602,5.3293712956832096,NA,0.2797178942700472,0.13496315532353645,6.509063364278542,0.5787452795486044,0.9898305084745762,0.2742398270782349,2.616236817880848,NA,0.4921,0.2828,0.3111,0.1518,1.2377999999999998,0.08901,0.9023,0.233,0.8796,0.3743,2.3891999999999998,0.699,0.002618,0.02828,0.030898,0.01047,0.3316,0.2416,0.2391,0.8612,0.5,2.1734999999999998,0.301,5.831398,0.1518
